id,name,age,salary,city,score
1,Eve,19,103353,Bangalore,9.59
2,Frank,30,46286,Delhi,89.57
3,Charlie,32,31509,Kolkata,65.36
4,Julia,52,103651,Delhi,12.02
5,Hana,51,70551,Chennai,22.54
6,Julia,36,100950,Pune,51.96
7,Charlie,42,101446,Mumbai,69.17
8,Charlie,44,87014,Pune,84.28
9,Hana,28,74624,Mumbai,23.04
10,Julia,58,56693,Delhi,63.54
11,David,47,20488,Pune,58.51
12,Hana,55,35031,Hyderabad,60.08
13,Ivan,41,67323,Hyderabad,52.3
14,Eve,46,29268,Delhi,17.35
15,Julia,36,103623,Pune,65.35
16,Bob,41,74082,Delhi,19.95
17,Ivan,24,89087,Kolkata,20.25
18,Grace,55,22605,Pune,57.92
19,Charlie,25,62616,Kolkata,13.83
20,Bob,49,100635,Mumbai,49.35
21,David,59,51728,Bangalore,11.11
22,David,55,52380,Kolkata,98.25
23,Alice,42,88369,Bangalore,36.27
24,Alice,29,65856,Pune,58.85
25,Bob,27,105345,Chennai,46.84
26,Grace,56,67101,Pune,85.55
27,David,41,55372,Delhi,69.46
28,Bob,23,30588,Mumbai,34.62
29,Bob,57,77191,Kolkata,4.58
30,Hana,57,96541,Bangalore,7.28
31,Eve,32,87555,Bangalore,94.63
32,Grace,21,95610,Bangalore,66.22
33,Ivan,30,77736,Kolkata,95.61
34,Frank,45,73545,Delhi,43.76
35,Eve,47,90733,Kolkata,38.88
36,Julia,45,33140,Kolkata,13.29
37,Julia,23,78220,Pune,49.5
38,Charlie,34,43296,Chennai,18.32
39,Frank,57,37794,Chennai,60.74
40,Bob,37,96564,Kolkata,48.97
41,Frank,20,44274,Bangalore,79.25
42,Julia,18,116199,Chennai,17.63
43,Eve,35,50101,Delhi,45.36
44,David,26,114471,Mumbai,19.38
45,David,23,23508,Delhi,25.28
46,Alice,36,37919,Pune,70.31
47,Ivan,57,113386,Pune,77.82
48,Bob,40,76825,Kolkata,36.24
49,Julia,20,99683,Hyderabad,70.22
50,Julia,29,62137,Pune,45.74
51,Hana,59,40416,Hyderabad,12.2
52,Hana,27,118726,Pune,83.87
53,Alice,44,61839,Bangalore,74.51
54,Julia,32,107330,Hyderabad,86.28
55,Ivan,37,54526,Kolkata,12.82
56,Bob,24,32180,Bangalore,76.1
57,Julia,48,69608,Pune,58.9
58,Alice,27,103417,Pune,87.97
59,David,56,84048,Kolkata,95.53
60,Charlie,31,78538,Bangalore,46.96
61,Alice,25,35343,Bangalore,9.76
62,David,37,102349,Pune,73.78
63,Hana,19,58567,Chennai,54.16
64,Eve,34,52658,Mumbai,26.1
65,Frank,18,32491,Bangalore,61.6
66,Grace,38,63244,Kolkata,63.1
67,Frank,42,35233,Chennai,46.66
68,Frank,58,20567,Pune,69.65
69,Charlie,27,22245,Chennai,58.46
70,Eve,45,97628,Chennai,68.08
71,David,46,80390,Hyderabad,66.22
72,Ivan,44,70733,Delhi,76.69
73,Bob,18,112773,Hyderabad,24.21
74,Hana,54,102102,Pune,45.56
75,Ivan,43,47737,Delhi,27.02
76,Bob,52,41161,Bangalore,8.67
77,David,41,100360,Kolkata,52.15
78,Bob,49,60617,Hyderabad,19.32
79,Eve,31,34587,Bangalore,13.86
80,Bob,57,64524,Hyderabad,74.88
81,Eve,26,85016,Hyderabad,30.04
82,Hana,20,102585,Mumbai,21.48
83,Frank,30,42394,Kolkata,3.27
84,Grace,39,41570,Pune,79.87
85,Grace,35,34060,Chennai,13.53
86,David,30,119057,Bangalore,10.58
87,Ivan,37,57196,Pune,95.92
88,Grace,51,112468,Mumbai,71.87
89,Charlie,43,28800,Kolkata,3.73
90,Bob,54,50258,Pune,8.95
91,Eve,19,52279,Mumbai,16.35
92,Hana,22,36566,Delhi,25.45
93,Hana,51,116786,Chennai,58.65
94,Hana,21,108856,Chennai,67.92
95,Hana,35,35645,Hyderabad,88.39
96,Eve,27,83271,Pune,79.62
97,Bob,56,116211,Mumbai,82.69
98,Eve,30,64632,Bangalore,64.35
99,Charlie,38,43362,Chennai,79.05
100,Julia,30,49019,Mumbai,67.4
101,Ivan,38,111965,Mumbai,33.27
102,Bob,54,102974,Pune,90.24
103,Bob,48,52984,Kolkata,37.49
104,Eve,38,98884,Kolkata,80.57
105,Alice,48,111871,Kolkata,93.04
106,Grace,50,61003,Pune,89.75
107,Bob,52,79251,Chennai,6.95
108,David,32,90002,Bangalore,26.37
109,Julia,53,51072,Kolkata,85.82
110,Frank,55,31556,Bangalore,91.65
111,Julia,26,42046,Delhi,79.26
112,Bob,36,81818,Delhi,32.02
113,Charlie,53,93995,Mumbai,79.93
114,Julia,37,37762,Kolkata,85.65
115,Ivan,46,33962,Mumbai,0.44
116,David,51,79265,Bangalore,69.34
117,Bob,58,49310,Delhi,62.09
118,Alice,52,33691,Delhi,71.6
119,David,41,61242,Mumbai,21.81
120,Frank,40,52712,Delhi,23.53
121,Julia,51,44059,Delhi,31.55
122,Alice,49,110323,Bangalore,14.22
123,Hana,24,70073,Bangalore,32.1
124,Charlie,41,104233,Mumbai,66.64
125,Charlie,21,81529,Hyderabad,11.99
126,Alice,46,40750,Bangalore,62.19
127,Charlie,43,77640,Kolkata,68.16
128,David,34,52604,Chennai,18.36
129,Julia,23,39339,Mumbai,82.31
130,Grace,56,74154,Hyderabad,47.98
131,Alice,43,86935,Chennai,40.25
132,Eve,46,63988,Delhi,61.19
133,David,57,117659,Delhi,14.06
134,David,56,77713,Pune,8.98
135,Charlie,53,23602,Pune,51.44
136,Julia,40,49827,Pune,7.83
137,Grace,46,115455,Mumbai,24.71
138,Julia,29,118060,Hyderabad,90.05
139,Julia,55,84902,Hyderabad,30.08
140,Charlie,37,26326,Delhi,5.89
141,Hana,22,62129,Kolkata,75.37
142,Eve,55,114305,Bangalore,0.02
143,Grace,26,81595,Kolkata,15.98
144,Alice,33,31532,Mumbai,11.62
145,Charlie,55,50505,Pune,13.29
146,Hana,31,34967,Pune,37.6
147,Frank,41,26459,Hyderabad,36.68
148,Charlie,37,31952,Hyderabad,88.48
149,David,44,75425,Pune,80.43
150,David,35,82151,Hyderabad,84.51
151,Frank,51,70425,Hyderabad,49.89
152,Julia,36,20635,Pune,85.99
153,David,37,60638,Bangalore,40.08
154,Charlie,42,106747,Delhi,26.32
155,Hana,24,86396,Pune,42.49
156,Frank,21,72424,Delhi,40.04
157,Julia,59,105586,Delhi,67.39
158,Bob,41,28054,Hyderabad,74.41
159,Julia,52,52505,Kolkata,3.94
160,Bob,51,30804,Hyderabad,94.53
161,David,31,118609,Pune,50.99
162,Ivan,25,37073,Bangalore,55.08
163,Bob,20,69935,Bangalore,95.3
164,Grace,55,100100,Mumbai,35.78
165,Alice,32,29366,Kolkata,48.24
166,Ivan,51,43524,Mumbai,84.03
167,Charlie,54,105822,Chennai,25.17
168,Alice,30,114512,Mumbai,33.05
169,Charlie,46,82654,Kolkata,61.25
170,Ivan,31,108884,Hyderabad,45.56
171,Julia,37,26340,Kolkata,36.02
172,Frank,22,52915,Pune,13.39
173,Hana,46,33986,Hyderabad,25.77
174,David,51,30813,Bangalore,38.56
175,Frank,58,67609,Mumbai,67.94
176,Eve,27,110801,Chennai,96.26
177,Alice,56,44325,Hyderabad,32.96
178,Eve,47,21209,Chennai,18.46
179,Hana,25,31809,Mumbai,45.7
180,Alice,36,82346,Bangalore,54.98
181,Frank,31,70363,Pune,42.52
182,Bob,23,79210,Kolkata,75.4
183,Julia,41,96899,Bangalore,4.31
184,Julia,54,100461,Hyderabad,98.2
185,Charlie,29,43140,Bangalore,84.35
186,Grace,19,37815,Delhi,93.7
187,Ivan,18,94373,Mumbai,96.97
188,Julia,40,38899,Delhi,41.09
189,Hana,58,55862,Hyderabad,7.34
190,Charlie,59,104269,Mumbai,81.81
191,Alice,43,30464,Kolkata,41.57
192,Bob,41,96511,Delhi,71.82
193,Frank,51,89374,Mumbai,5.08
194,Eve,50,96293,Delhi,16.73
195,David,31,75267,Kolkata,10.98
196,Ivan,50,103623,Mumbai,47.76
197,Grace,32,84618,Hyderabad,72.71
198,Bob,34,119558,Chennai,63.73
199,David,44,69564,Kolkata,95.37
200,Charlie,22,92940,Mumbai,9.42
